Date,Rainfall,Tmax,Tmin,speed
20110111,3.08,25.6,20.3,
20110112,1.33,26.1,20.5,
20110113,0.41,25.0,19.7,
20110114,1.51,24.6,19.0,
20110115,0.00,26.1,19.4,
20110116,0.00,26.4,20.0,
20110117,2.68,25.3,20.0,
20110118,1.57,26.2,20.1,
20110119,1.47,27.5,21.0,
20110120,0.26,25.5,19.1,
20110121,1.01,26.8,19.3,
20110122,0.00,28.2,20.9,
20110123,0.07,31.5,20.4,
20110124,0.00,31.4,20.5,
20110125,0.00,31.4,19.9,
20110126,0.00,29.6,19.5,
20110127,0.00,31.0,18.9,
20110128,0.00,31.4,18.7,
20110129,0.00,28.9,20.0,
20110130,1.23,30.4,20.2,
20110131,0.19,29.1,20.7,
20110201,0.00,24.0,21.0,
20110202,0.32,27.4,18.9,
20110203,0.00,27.4,18.5,
20110204,0.18,27.6,19.7,
20110205,0.00,30.0,16.9,
20110206,0.00,30.3,20.0,
20110207,0.00,29.2,18.8,
20110208,0.00,29.6,19.5,
20110209,0.00,27.4,19.1,
20110210,0.00,26.3,19.9,
20110211,10.42,27.4,20.2,
20110212,0.14,26.2,21.1,
20110213,0.10,25.6,19.4,
20110214,0.58,26.2,19.4,
20110215,0.00,26.3,19.4,
20110216,4.40,25.5,20.2,
20110217,4.50,27.4,19.6,
20110218,0.08,26.2,17.8,
20110219,4.57,28.7,19.7,
20110220,0.74,26.8,19.8,
20110221,0.00,26.0,19.3,
20110222,6.52,28.2,18.8,
20110223,0.51,26.9,16.3,
20110224,0.00,29.5,18.8,
20110225,0.00,28.4,19.7,
20110226,0.00,29.6,20.1,
20110227,0.00,28.6,19.9,
20110228,0.00,28.6,20.6,
20110301,0.00,29.9,19.5,
20110302,0.91,28.6,20.6,
20110303,0.00,27.8,18.7,
20110304,0.00,28.2,20.2,
20110305,0.75,27.9,19.5,
20110306,2.55,27.9,19.8,
20110307,0.10,29.2,17.6,
20110308,0.09,28.7,19.4,
20110309,0.04,28.3,21.4,
20110310,1.21,28.6,20.7,
20110311,0.00,27.6,20.9,
20110312,0.00,27.8,21.8,
20110313,0.53,28.9,21.1,
20110314,0.00,28.1,20.7,
20110315,6.16,23.9,18.5,
20110316,2.49,24.6,18.3,
20110317,0.00,24.8,19.0,
20110318,5.23,26.9,19.6,
20110319,24.12,23.4,19.0,
20110320,10.41,26.7,19.1,
20110321,0.00,25.5,18.8,
20110322,16.66,24.4,17.5,
20110323,2.20,26.8,17.9,
20110324,4.42,26.6,18.0,
20110325,1.84,27.2,17.6,
20110326,8.26,26.9,21.1,
20110327,9.35,26.3,19.7,
20110328,3.81,26.3,18.3,
20110329,2.85,27.4,20.5,
20110330,28.82,26.2,20.5,
20110331,1.40,25.4,17.4,
20110401,2.10,24.8,17.3,
